======================================================================
TAA-PINN TRAINING
======================================================================
Experiment: AS6
Description: 6cm Axisymmetric TAA — data-driven RANS with physics regularization
Geometry: AS6
Device: cuda
Output directory: experiments/AS6
Non-Newtonian viscosity: Carreau-Yasuda
  mu_inf=0.0035, mu_0=0.16, lambda=8.2, n=0.2128, a=0.64
Optimizer strategy: adaptive weights
----------------------------------------------------------------------
LOADING DATA (non-dimensional)
----------------------------------------------------------------------
  Non-dimensional reference scales:
    L_ref         = 0.0500 m
    U_ref         = 0.4373 m/s  (from max|p|=202.67 Pa)
    P_ref         = 202.67 Pa  (= rho * U_ref^2)
    tau_ref       = 0.030608 Pa  (= mu * U_ref / L_ref)
    Re            = 6621.4
    rho           = 1060.0 kg/m^3
    mu            = 0.003500 Pa.s
    coord_scale   = 1.3254  (normalises coords to [-1,1])
    wss_std       = 18.2155  (standardises WSS to O(1))
    pressure_std  = 0.4828  (standardises pressure to O(1))
Loading systolic: 6cm systolic.csv
Computing wall normals...
Sampling interior collocation points...
  Wall points: 24655
  Interior points: 6000
  Normals computed: torch.Size([24655, 3])
  Phase encoding: 1.0
Loading diastolic: 6cm diastolic.csv
Computing wall normals...
Sampling interior collocation points...
  Wall points: 24655
  Interior points: 6000
  Normals computed: torch.Size([24655, 3])
  Phase encoding: 0.0
  Inlet cross-section: 73 points, radius=10.0 mm
  Outlet cross-section: 73 points, radius=10.0 mm
  Axial direction: X
  Inlet velocity (physical): systolic=0.5 m/s, diastolic=0.1 m/s
Data loading complete!
----------------------------------------------------------------------
INITIALIZING NETWORKS
----------------------------------------------------------------------
  Net_u: 202,497 parameters
  Net_v: 202,497 parameters
  Net_w: 202,497 parameters
  Net_p: 202,497 parameters
  Net_nut: 35,457 parameters
  Total: 845,445 parameters
----------------------------------------------------------------------
INITIALIZING OPTIMIZERS
----------------------------------------------------------------------
Learning rate (flow): 0.0001
Learning rate (nut):  0.001 (10.0x)
Optimizer (flow): AdamW — 809,988 parameters
Optimizer (nut):  AdamW — 35,457 parameters
Scheduler: CosineAnnealingLR
Mixed precision (AMP): disabled
Initialization complete!
======================================================================
STARTING TRAINING
======================================================================
Total epochs: 10000
Evaluate interval: 1000
Save interval: 2500
Early stopping: patience=3000, min_delta=1e-06
Training:   0%|          | 0/10000 [00:00<?, ?epoch/s]/home/olarinoyem/miniconda3/envs/deep_tf/lib/python3.11/site-packages/torch/autograd/graph.py:825: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at ../aten/src/ATen/cuda/CublasHandlePool.cpp:135.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Training:   0%|          | 0/10000 [00:01<?, ?epoch/s, loss=1.278e+04, lr=0.0001]
Training:   5%|▌         | 506/10000 [14:16<5:49:02,  2.21s/epoch, loss=6.435, lr=9.9e-05]
Training:   5%|▌         | 506/10000 [14:18<5:49:02,  2.21s/epoch, loss=5.077, lr=9.9e-05]
Training:   5%|▌         | 507/10000 [14:18<5:48:40,  2.20s/epoch, loss=5.077, lr=9.9e-05]
Training:   5%|▌         | 507/10000 [14:20<5:48:40,  2.20s/epoch, loss=6.27, lr=9.9e-05] 
Training:   5%|▌         | 508/10000 [14:20<5:47:03,  2.19s/epoch, loss=6.27, lr=9.9e-05]
Training:   5%|▌         | 508/10000 [14:22<5:47:03,  2.19s/epoch, loss=5.035, lr=9.9e-05]
Training:   5%|▌         | 509/10000 [14:22<5:46:41,  2.19s/epoch, loss=5.035, lr=9.9e-05]
Training:   5%|▌         | 509/10000 [14:24<5:46:41,  2.19s/epoch, loss=5.385, lr=9.9e-05]
Training:   5%|▌         | 510/10000 [14:24<5:45:55,  2.19s/epoch, loss=5.385, lr=9.9e-05]
Training:   5%|▌         | 510/10000 [14:26<5:45:55,  2.19s/epoch, loss=5.884, lr=9.9e-05]
Training:   5%|▌         | 511/10000 [14:26<5:46:57,  2.19s/epoch, loss=5.884, lr=9.9e-05]
Training:   5%|▌         | 511/10000 [14:29<5:46:57,  2.19s/epoch, loss=4.081, lr=9.9e-05]
Training:   5%|▌         | 512/10000 [14:29<5:52:23,  2.23s/epoch, loss=4.081, lr=9.9e-05]
Training:   5%|▌         | 512/10000 [14:31<5:52:23,  2.23s/epoch, loss=5.313, lr=9.9e-05]
Training:   5%|▌         | 513/10000 [14:31<5:49:50,  2.21s/epoch, loss=5.313, lr=9.9e-05]
Training:   5%|▌         | 513/10000 [14:33<5:49:50,  2.21s/epoch, loss=5.463, lr=9.9e-05]
Training:   5%|▌         | 514/10000 [14:33<5:47:48,  2.20s/epoch, loss=5.463, lr=9.9e-05]
Training:   5%|▌         | 514/10000 [14:35<5:47:48,  2.20s/epoch, loss=4.33, lr=9.9e-05] 
Training:   5%|▌         | 515/10000 [14:35<5:47:16,  2.20s/epoch, loss=4.33, lr=9.9e-05]
Training:   5%|▌         | 515/10000 [14:38<5:47:16,  2.20s/epoch, loss=5.121, lr=9.9e-05]
Training:   5%|▌         | 516/10000 [14:38<5:47:11,  2.20s/epoch, loss=5.121, lr=9.9e-05]
Training:   5%|▌         | 516/10000 [14:40<5:47:11,  2.20s/epoch, loss=4.976, lr=9.9e-05]
Training:   5%|▌         | 517/10000 [14:40<5:47:06,  2.20s/epoch, loss=4.976, lr=9.9e-05]
Training:   5%|▌         | 517/10000 [14:42<5:47:06,  2.20s/epoch, loss=3.92, lr=9.9e-05] 
Training:   5%|▌         | 518/10000 [14:42<5:54:30,  2.24s/epoch, loss=3.92, lr=9.9e-05]
Training:   5%|▌         | 518/10000 [14:44<5:54:30,  2.24s/epoch, loss=5.572, lr=9.9e-05]
Training:   5%|▌         | 519/10000 [14:44<5:54:23,  2.24s/epoch, loss=5.572, lr=9.9e-05]
Training:   5%|▌         | 519/10000 [14:46<5:54:23,  2.24s/epoch, loss=4.452, lr=9.9e-05]
Training:   5%|▌         | 520/10000 [14:46<5:51:27,  2.22s/epoch, loss=4.452, lr=9.9e-05]
Training:   5%|▌         | 520/10000 [14:49<5:51:27,  2.22s/epoch, loss=4.779, lr=9.9e-05]
Training:   5%|▌         | 521/10000 [14:49<5:49:11,  2.21s/epoch, loss=4.779, lr=9.9e-05]
Training:   5%|▌         | 521/10000 [14:51<5:49:11,  2.21s/epoch, loss=5.787, lr=9.9e-05]
Training:   5%|▌         | 522/10000 [14:51<5:48:54,  2.21s/epoch, loss=5.787, lr=9.9e-05]
Training:   5%|▌         | 522/10000 [14:53<5:48:54,  2.21s/epoch, loss=4.376, lr=9.9e-05]
Training:   5%|▌         | 523/10000 [14:53<5:49:36,  2.21s/epoch, loss=4.376, lr=9.9e-05]
Training:   5%|▌         | 523/10000 [14:55<5:49:36,  2.21s/epoch, loss=4.823, lr=9.9e-05]
Training:   5%|▌         | 524/10000 [14:55<5:47:39,  2.20s/epoch, loss=4.823, lr=9.9e-05]
Training:   5%|▌         | 524/10000 [14:57<5:47:39,  2.20s/epoch, loss=4.306, lr=9.9e-05]
Training:   5%|▌         | 525/10000 [14:57<5:47:17,  2.20s/epoch, loss=4.306, lr=9.9e-05]
Training:   5%|▌         | 525/10000 [15:00<5:47:17,  2.20s/epoch, loss=4.382, lr=9.9e-05]
Training:   5%|▌         | 526/10000 [15:00<5:46:40,  2.20s/epoch, loss=4.382, lr=9.9e-05]
Training:   5%|▌         | 526/10000 [15:02<5:46:40,  2.20s/epoch, loss=4.055, lr=9.9e-05]
Training:   5%|▌         | 527/10000 [15:02<5:45:15,  2.19s/epoch, loss=4.055, lr=9.9e-05]
Training:   5%|▌         | 527/10000 [15:04<5:45:15,  2.19s/epoch, loss=4.356, lr=9.9e-05]
Training:   5%|▌         | 528/10000 [15:04<5:44:56,  2.19s/epoch, loss=4.356, lr=9.9e-05]
Training:   5%|▌         | 528/10000 [15:06<5:44:56,  2.19s/epoch, loss=4.205, lr=9.9e-05]
Training:   5%|▌         | 529/10000 [15:06<5:43:40,  2.18s/epoch, loss=4.205, lr=9.9e-05]
Training:   5%|▌         | 529/10000 [15:08<5:43:40,  2.18s/epoch, loss=4.119, lr=9.9e-05]
Training:   5%|▌         | 530/10000 [15:08<5:44:24,  2.18s/epoch, loss=4.119, lr=9.9e-05]
Training:   5%|▌         | 530/10000 [15:11<5:44:24,  2.18s/epoch, loss=4.162, lr=9.9e-05]
Training:   5%|▌         | 531/10000 [15:11<5:45:11,  2.19s/epoch, loss=4.162, lr=9.9e-05]
Training:   5%|▌         | 531/10000 [15:13<5:45:11,  2.19s/epoch, loss=3.802, lr=9.9e-05]
Training:   5%|▌         | 532/10000 [15:13<5:53:01,  2.24s/epoch, loss=3.802, lr=9.9e-05]
Training:   5%|▌         | 532/10000 [15:15<5:53:01,  2.24s/epoch, loss=3.972, lr=9.9e-05]
Training:   5%|▌         | 533/10000 [15:15<5:51:06,  2.23s/epoch, loss=3.972, lr=9.9e-05]
Training:   5%|▌         | 533/10000 [15:17<5:51:06,  2.23s/epoch, loss=3.74, lr=9.9e-05] 
Training:   5%|▌         | 534/10000 [15:17<5:55:44,  2.25s/epoch, loss=3.74, lr=9.9e-05]
Training:   5%|▌         | 534/10000 [15:20<5:55:44,  2.25s/epoch, loss=4.761, lr=9.9e-05]
Training:   5%|▌         | 535/10000 [15:20<5:52:31,  2.23s/epoch, loss=4.761, lr=9.9e-05]
Training:   5%|▌         | 535/10000 [15:22<5:52:31,  2.23s/epoch, loss=3.836, lr=9.9e-05]
Training:   5%|▌         | 536/10000 [15:22<5:49:08,  2.21s/epoch, loss=3.836, lr=9.9e-05]
Training:   5%|▌         | 536/10000 [15:24<5:49:08,  2.21s/epoch, loss=4.051, lr=9.9e-05]
Training:   5%|▌         | 537/10000 [15:24<5:48:28,  2.21s/epoch, loss=4.051, lr=9.9e-05]
Training:   5%|▌         | 537/10000 [15:26<5:48:28,  2.21s/epoch, loss=4.041, lr=9.9e-05]
Training:   5%|▌         | 538/10000 [15:26<5:48:54,  2.21s/epoch, loss=4.041, lr=9.9e-05]
Training:   5%|▌         | 538/10000 [15:28<5:48:54,  2.21s/epoch, loss=4.482, lr=9.9e-05]
Training:   5%|▌         | 539/10000 [15:28<5:46:58,  2.20s/epoch, loss=4.482, lr=9.9e-05]
Training:   5%|▌         | 539/10000 [15:31<5:46:58,  2.20s/epoch, loss=3.805, lr=9.9e-05]
Training:   5%|▌         | 540/10000 [15:31<5:46:05,  2.20s/epoch, loss=3.805, lr=9.9e-05]
Training:   5%|▌         | 540/10000 [15:33<5:46:05,  2.20s/epoch, loss=7.259, lr=9.9e-05]
Training:   5%|▌         | 541/10000 [15:33<5:46:28,  2.20s/epoch, loss=7.259, lr=9.9e-05]
Training:   5%|▌         | 541/10000 [15:35<5:46:28,  2.20s/epoch, loss=7.208, lr=9.9e-05]
Training:   5%|▌         | 542/10000 [15:35<5:45:06,  2.19s/epoch, loss=7.208, lr=9.9e-05]
Training:   5%|▌         | 542/10000 [15:37<5:45:06,  2.19s/epoch, loss=5.071, lr=9.9e-05]
Training:   5%|▌         | 543/10000 [15:37<5:44:54,  2.19s/epoch, loss=5.071, lr=9.9e-05]
Training:   5%|▌         | 543/10000 [15:39<5:44:54,  2.19s/epoch, loss=4.694, lr=9.9e-05]
Training:   5%|▌         | 544/10000 [15:39<5:43:16,  2.18s/epoch, loss=4.694, lr=9.9e-05]
Training:   5%|▌         | 544/10000 [15:41<5:43:16,  2.18s/epoch, loss=5.558, lr=9.9e-05]
Training:   5%|▌         | 545/10000 [15:41<5:44:27,  2.19s/epoch, loss=5.558, lr=9.9e-05]
Training:   5%|▌         | 545/10000 [15:44<5:44:27,  2.19s/epoch, loss=5.01, lr=9.9e-05] 
Training:   5%|▌         | 546/10000 [15:44<5:44:14,  2.18s/epoch, loss=5.01, lr=9.9e-05]
Training:   5%|▌         | 546/10000 [15:46<5:44:14,  2.18s/epoch, loss=5.062, lr=9.9e-05]
Training:   5%|▌         | 547/10000 [15:46<5:43:07,  2.18s/epoch, loss=5.062, lr=9.9e-05]
Training:   5%|▌         | 547/10000 [15:48<5:43:07,  2.18s/epoch, loss=5.108, lr=9.9e-05]
Training:   5%|▌         | 548/10000 [15:48<5:43:25,  2.18s/epoch, loss=5.108, lr=9.9e-05]
Training:   5%|▌         | 548/10000 [15:50<5:43:25,  2.18s/epoch, loss=4.277, lr=9.9e-05]
Training:   5%|▌         | 549/10000 [15:50<5:44:30,  2.19s/epoch, loss=4.277, lr=9.9e-05]
Training:   5%|▌         | 549/10000 [15:52<5:44:30,  2.19s/epoch, loss=4.536, lr=9.9e-05]
Training:   6%|▌         | 550/10000 [15:52<5:43:46,  2.18s/epoch, loss=4.536, lr=9.9e-05]
Training:   6%|▌         | 550/10000 [15:55<5:43:46,  2.18s/epoch, loss=4.095, lr=9.9e-05]
Training:   6%|▌         | 551/10000 [15:55<5:44:02,  2.18s/epoch, loss=4.095, lr=9.9e-05]
Training:   6%|▌         | 551/10000 [15:57<5:44:02,  2.18s/epoch, loss=4.27, lr=9.9e-05] 
Training:   6%|▌         | 552/10000 [15:57<5:44:06,  2.19s/epoch, loss=4.27, lr=9.9e-05]
Training:   6%|▌         | 552/10000 [15:59<5:44:06,  2.19s/epoch, loss=3.673, lr=9.9e-05]
Training:   6%|▌         | 553/10000 [15:59<5:53:12,  2.24s/epoch, loss=3.673, lr=9.9e-05]
Training:   6%|▌         | 553/10000 [16:01<5:53:12,  2.24s/epoch, loss=4.453, lr=9.9e-05]
Training:   6%|▌         | 554/10000 [16:01<5:50:39,  2.23s/epoch, loss=4.453, lr=9.9e-05]
Training:   6%|▌         | 554/10000 [16:04<5:50:39,  2.23s/epoch, loss=4.149, lr=9.9e-05]
Training:   6%|▌         | 555/10000 [16:04<5:48:46,  2.22s/epoch, loss=4.149, lr=9.9e-05]
Training:   6%|▌         | 555/10000 [16:06<5:48:46,  2.22s/epoch, loss=3.911, lr=9.9e-05]
Training:   6%|▌         | 556/10000 [16:06<5:47:02,  2.20s/epoch, loss=3.911, lr=9.9e-05]
Training:   6%|▌         | 556/10000 [16:08<5:47:02,  2.20s/epoch, loss=3.878, lr=9.9e-05]
Training:   6%|▌         | 557/10000 [16:08<5:45:41,  2.20s/epoch, loss=3.878, lr=9.9e-05]
Training:   6%|▌         | 557/10000 [16:10<5:45:41,  2.20s/epoch, loss=3.934, lr=9.9e-05]
Training:   6%|▌         | 558/10000 [16:10<5:44:45,  2.19s/epoch, loss=3.934, lr=9.9e-05]
Training:   6%|▌         | 558/10000 [16:12<5:44:45,  2.19s/epoch, loss=3.543, lr=9.9e-05]
Training:   6%|▌         | 559/10000 [16:12<5:51:32,  2.23s/epoch, loss=3.543, lr=9.9e-05]
Training:   6%|▌         | 559/10000 [16:15<5:51:32,  2.23s/epoch, loss=4.179, lr=9.9e-05]
Training:   6%|▌         | 560/10000 [16:15<5:51:49,  2.24s/epoch, loss=4.179, lr=9.9e-05]
Training:   6%|▌         | 560/10000 [16:17<5:51:49,  2.24s/epoch, loss=3.666, lr=9.9e-05]
Training:   6%|▌         | 561/10000 [16:17<5:49:42,  2.22s/epoch, loss=3.666, lr=9.9e-05]
Training:   6%|▌         | 561/10000 [16:19<5:49:42,  2.22s/epoch, loss=4.131, lr=9.9e-05]
Training:   6%|▌         | 562/10000 [16:19<5:48:07,  2.21s/epoch, loss=4.131, lr=9.9e-05]
Training:   6%|▌         | 562/10000 [16:21<5:48:07,  2.21s/epoch, loss=3.513, lr=9.9e-05]
Training:   6%|▌         | 563/10000 [16:21<5:52:48,  2.24s/epoch, loss=3.513, lr=9.9e-05]
Training:   6%|▌         | 563/10000 [16:24<5:52:48,  2.24s/epoch, loss=4.316, lr=9.9e-05]
Training:   6%|▌         | 564/10000 [16:24<5:50:25,  2.23s/epoch, loss=4.316, lr=9.9e-05]
Training:   6%|▌         | 564/10000 [16:26<5:50:25,  2.23s/epoch, loss=3.961, lr=9.9e-05]
Training:   6%|▌         | 565/10000 [16:26<5:47:50,  2.21s/epoch, loss=3.961, lr=9.9e-05]
Training:   6%|▌         | 565/10000 [16:28<5:47:50,  2.21s/epoch, loss=4.006, lr=9.9e-05]
Training:   6%|▌         | 566/10000 [16:28<5:46:55,  2.21s/epoch, loss=4.006, lr=9.9e-05]
Training:   6%|▌         | 566/10000 [16:30<5:46:55,  2.21s/epoch, loss=3.913, lr=9.9e-05]
Training:   6%|▌         | 567/10000 [16:30<5:46:20,  2.20s/epoch, loss=3.913, lr=9.9e-05]
Training:   6%|▌         | 567/10000 [16:32<5:46:20,  2.20s/epoch, loss=3.835, lr=9.9e-05]
Training:   6%|▌         | 568/10000 [16:32<5:45:55,  2.20s/epoch, loss=3.835, lr=9.9e-05]
Training:   6%|▌         | 568/10000 [16:34<5:45:55,  2.20s/epoch, loss=3.573, lr=9.9e-05]
Training:   6%|▌         | 569/10000 [16:34<5:44:53,  2.19s/epoch, loss=3.573, lr=9.9e-05]
Training:   6%|▌         | 569/10000 [16:37<5:44:53,  2.19s/epoch, loss=4.496, lr=9.9e-05]
Training:   6%|▌         | 570/10000 [16:37<5:45:02,  2.20s/epoch, loss=4.496, lr=9.9e-05]
Training:   6%|▌         | 570/10000 [16:39<5:45:02,  2.20s/epoch, loss=4.032, lr=9.9e-05]
Training:   6%|▌         | 571/10000 [16:39<5:45:35,  2.20s/epoch, loss=4.032, lr=9.9e-05]
Training:   6%|▌         | 571/10000 [16:41<5:45:35,  2.20s/epoch, loss=3.663, lr=9.9e-05]
Training:   6%|▌         | 572/10000 [16:41<5:45:03,  2.20s/epoch, loss=3.663, lr=9.9e-05]
Training:   6%|▌         | 572/10000 [16:43<5:45:03,  2.20s/epoch, loss=4.49, lr=9.9e-05] 
Training:   6%|▌         | 573/10000 [16:43<5:45:48,  2.20s/epoch, loss=4.49, lr=9.9e-05]
Training:   6%|▌         | 573/10000 [16:45<5:45:48,  2.20s/epoch, loss=3.853, lr=9.9e-05]
Training:   6%|▌         | 574/10000 [16:45<5:45:33,  2.20s/epoch, loss=3.853, lr=9.9e-05]
Training:   6%|▌         | 574/10000 [16:48<5:45:33,  2.20s/epoch, loss=4.942, lr=9.9e-05]
Training:   6%|▌         | 575/10000 [16:48<5:44:14,  2.19s/epoch, loss=4.942, lr=9.9e-05]
Training:   6%|▌         | 575/10000 [16:50<5:44:14,  2.19s/epoch, loss=4.2, lr=9.9e-05]  
Training:   6%|▌         | 576/10000 [16:50<5:43:57,  2.19s/epoch, loss=4.2, lr=9.9e-05]
Training:   6%|▌         | 576/10000 [16:52<5:43:57,  2.19s/epoch, loss=4.406, lr=9.9e-05]
Training:   6%|▌         | 577/10000 [16:52<5:46:05,  2.20s/epoch, loss=4.406, lr=9.9e-05]
Training:   6%|▌         | 577/10000 [16:54<5:46:05,  2.20s/epoch, loss=4.368, lr=9.9e-05]
Training:   6%|▌         | 578/10000 [16:54<5:45:07,  2.20s/epoch, loss=4.368, lr=9.9e-05]
Training:   6%|▌         | 578/10000 [16:56<5:45:07,  2.20s/epoch, loss=4.983, lr=9.9e-05]
Training:   6%|▌         | 579/10000 [16:56<5:43:40,  2.19s/epoch, loss=4.983, lr=9.9e-05]
Training:   6%|▌         | 579/10000 [16:59<5:43:40,  2.19s/epoch, loss=5.018, lr=9.9e-05]
Training:   6%|▌         | 580/10000 [16:59<5:44:01,  2.19s/epoch, loss=5.018, lr=9.9e-05]
Training:   6%|▌         | 580/10000 [17:01<5:44:01,  2.19s/epoch, loss=3.805, lr=9.9e-05]
Training:   6%|▌         | 581/10000 [17:01<5:45:54,  2.20s/epoch, loss=3.805, lr=9.9e-05]
Training:   6%|▌         | 581/10000 [17:03<5:45:54,  2.20s/epoch, loss=4.338, lr=9.9e-05]
Training:   6%|▌         | 582/10000 [17:03<5:44:27,  2.19s/epoch, loss=4.338, lr=9.9e-05]
Training:   6%|▌         | 582/10000 [17:05<5:44:27,  2.19s/epoch, loss=3.86, lr=9.9e-05] 
Training:   6%|▌         | 583/10000 [17:05<5:45:13,  2.20s/epoch, loss=3.86, lr=9.9e-05]
Training:   6%|▌         | 583/10000 [17:07<5:45:13,  2.20s/epoch, loss=3.752, lr=9.9e-05]
Training:   6%|▌         | 584/10000 [17:07<5:44:56,  2.20s/epoch, loss=3.752, lr=9.9e-05]
Training:   6%|▌         | 584/10000 [17:10<5:44:56,  2.20s/epoch, loss=4.11, lr=9.9e-05] 
Training:   6%|▌         | 585/10000 [17:10<5:44:06,  2.19s/epoch, loss=4.11, lr=9.9e-05]
Training:   6%|▌         | 585/10000 [17:12<5:44:06,  2.19s/epoch, loss=3.413, lr=9.9e-05]
Training:   6%|▌         | 586/10000 [17:12<5:51:31,  2.24s/epoch, loss=3.413, lr=9.9e-05]
Training:   6%|▌         | 586/10000 [17:14<5:51:31,  2.24s/epoch, loss=4.367, lr=9.9e-05]
Training:   6%|▌         | 587/10000 [17:14<5:49:25,  2.23s/epoch, loss=4.367, lr=9.9e-05]
Training:   6%|▌         | 587/10000 [17:16<5:49:25,  2.23s/epoch, loss=3.561, lr=9.9e-05]
Training:   6%|▌         | 588/10000 [17:16<5:49:15,  2.23s/epoch, loss=3.561, lr=9.9e-05]
Training:   6%|▌         | 588/10000 [17:19<5:49:15,  2.23s/epoch, loss=5.346, lr=9.9e-05]
Training:   6%|▌         | 589/10000 [17:19<5:47:24,  2.21s/epoch, loss=5.346, lr=9.9e-05]
Training:   6%|▌         | 589/10000 [17:20<5:47:24,  2.21s/epoch, loss=5.899, lr=9.9e-05]
Training:   6%|▌         | 590/10000 [17:21<5:39:30,  2.16s/epoch, loss=5.899, lr=9.9e-05]
Training:   6%|▌         | 590/10000 [17:23<5:39:30,  2.16s/epoch, loss=4.053, lr=9.9e-05]
Training:   6%|▌         | 591/10000 [17:23<5:41:35,  2.18s/epoch, loss=4.053, lr=9.9e-05]
Training:   6%|▌         | 591/10000 [17:25<5:41:35,  2.18s/epoch, loss=4.784, lr=9.9e-05]
Training:   6%|▌         | 592/10000 [17:25<5:42:45,  2.19s/epoch, loss=4.784, lr=9.9e-05]
Training:   6%|▌         | 592/10000 [17:27<5:42:45,  2.19s/epoch, loss=4.124, lr=9.9e-05]
Training:   6%|▌         | 593/10000 [17:27<5:42:25,  2.18s/epoch, loss=4.124, lr=9.9e-05]
Training:   6%|▌         | 593/10000 [17:29<5:42:25,  2.18s/epoch, loss=4.465, lr=9.9e-05]
Training:   6%|▌         | 594/10000 [17:29<5:44:13,  2.20s/epoch, loss=4.465, lr=9.9e-05]
Training:   6%|▌         | 594/10000 [17:32<5:44:13,  2.20s/epoch, loss=4.193, lr=9.9e-05]
Training:   6%|▌         | 595/10000 [17:32<5:48:13,  2.22s/epoch, loss=4.193, lr=9.9e-05]
Training:   6%|▌         | 595/10000 [17:34<5:48:13,  2.22s/epoch, loss=3.429, lr=9.9e-05]
Training:   6%|▌         | 596/10000 [17:34<5:47:58,  2.22s/epoch, loss=3.429, lr=9.9e-05]
Training:   6%|▌         | 596/10000 [17:36<5:47:58,  2.22s/epoch, loss=4.195, lr=9.9e-05]
Training:   6%|▌         | 597/10000 [17:36<5:44:49,  2.20s/epoch, loss=4.195, lr=9.9e-05]
Training:   6%|▌         | 597/10000 [17:38<5:44:49,  2.20s/epoch, loss=3.602, lr=9.9e-05]
Training:   6%|▌         | 598/10000 [17:38<5:45:18,  2.20s/epoch, loss=3.602, lr=9.9e-05]
Training:   6%|▌         | 598/10000 [17:40<5:45:18,  2.20s/epoch, loss=3.74, lr=9.9e-05] 
Training:   6%|▌         | 599/10000 [17:40<5:43:55,  2.20s/epoch, loss=3.74, lr=9.9e-05]
Training:   6%|▌         | 599/10000 [17:43<5:43:55,  2.20s/epoch, loss=3.73, lr=9.9e-05]
Training:   6%|▌         | 600/10000 [17:43<5:43:07,  2.19s/epoch, loss=3.73, lr=9.9e-05]
Training:   6%|▌         | 600/10000 [17:45<5:43:07,  2.19s/epoch, loss=3.307, lr=9.9e-05]
Training:   6%|▌         | 601/10000 [17:45<5:51:31,  2.24s/epoch, loss=3.307, lr=9.9e-05]
Training:   6%|▌         | 601/10000 [17:47<5:51:31,  2.24s/epoch, loss=3.522, lr=9.9e-05]
Training:   6%|▌         | 602/10000 [17:47<5:50:01,  2.23s/epoch, loss=3.522, lr=9.9e-05]
Training:   6%|▌         | 602/10000 [17:49<5:50:01,  2.23s/epoch, loss=3.483, lr=9.9e-05]
Training:   6%|▌         | 603/10000 [17:49<5:49:06,  2.23s/epoch, loss=3.483, lr=9.9e-05]
Training:   6%|▌         | 603/10000 [17:52<5:49:06,  2.23s/epoch, loss=3.535, lr=9.9e-05]
Training:   6%|▌         | 604/10000 [17:52<5:47:08,  2.22s/epoch, loss=3.535, lr=9.9e-05]
Training:   6%|▌         | 604/10000 [17:54<5:47:08,  2.22s/epoch, loss=3.277, lr=9.9e-05]
Training:   6%|▌         | 605/10000 [17:54<5:54:21,  2.26s/epoch, loss=3.277, lr=9.9e-05]
Training:   6%|▌         | 605/10000 [17:56<5:54:21,  2.26s/epoch, loss=3.237, lr=9.9e-05]
Training:   6%|▌         | 606/10000 [17:57<6:08:44,  2.36s/epoch, loss=3.237, lr=9.9e-05]
Training:   6%|▌         | 606/10000 [17:59<6:08:44,  2.36s/epoch, loss=3.245, lr=9.9e-05]
Training:   6%|▌         | 607/10000 [17:59<6:00:13,  2.30s/epoch, loss=3.245, lr=9.9e-05]
Training:   6%|▌         | 607/10000 [18:01<6:00:13,  2.30s/epoch, loss=3.344, lr=9.9e-05]
Training:   6%|▌         | 608/10000 [18:01<5:56:05,  2.27s/epoch, loss=3.344, lr=9.9e-05]
Training:   6%|▌         | 608/10000 [18:03<5:56:05,  2.27s/epoch, loss=3.141, lr=9.9e-05]
Training:   6%|▌         | 609/10000 [18:03<5:59:22,  2.30s/epoch, loss=3.141, lr=9.9e-05]
Training:   6%|▌         | 609/10000 [18:06<5:59:22,  2.30s/epoch, loss=3.335, lr=9.9e-05]
Training:   6%|▌         | 610/10000 [18:06<5:55:43,  2.27s/epoch, loss=3.335, lr=9.9e-05]
Training:   6%|▌         | 610/10000 [18:08<5:55:43,  2.27s/epoch, loss=3.33, lr=9.9e-05] 
Training:   6%|▌         | 611/10000 [18:08<5:51:01,  2.24s/epoch, loss=3.33, lr=9.9e-05]
Training:   6%|▌         | 611/10000 [18:10<5:51:01,  2.24s/epoch, loss=3.124, lr=9.9e-05]
Training:   6%|▌         | 612/10000 [18:10<5:56:56,  2.28s/epoch, loss=3.124, lr=9.9e-05]
Training:   6%|▌         | 612/10000 [18:12<5:56:56,  2.28s/epoch, loss=3.325, lr=9.9e-05]
Training:   6%|▌         | 613/10000 [18:12<5:53:55,  2.26s/epoch, loss=3.325, lr=9.9e-05]
Training:   6%|▌         | 613/10000 [18:14<5:53:55,  2.26s/epoch, loss=3.018, lr=9.9e-05]
Training:   6%|▌         | 614/10000 [18:15<5:57:53,  2.29s/epoch, loss=3.018, lr=9.9e-05]
Training:   6%|▌         | 614/10000 [18:17<5:57:53,  2.29s/epoch, loss=3.687, lr=9.9e-05]
Training:   6%|▌         | 615/10000 [18:17<5:55:05,  2.27s/epoch, loss=3.687, lr=9.9e-05]
Training:   6%|▌         | 615/10000 [18:19<5:55:05,  2.27s/epoch, loss=3.066, lr=9.9e-05]
Training:   6%|▌         | 616/10000 [18:19<5:50:33,  2.24s/epoch, loss=3.066, lr=9.9e-05]
Training:   6%|▌         | 616/10000 [18:21<5:50:33,  2.24s/epoch, loss=3.536, lr=9.9e-05]
Training:   6%|▌         | 617/10000 [18:21<5:47:51,  2.22s/epoch, loss=3.536, lr=9.9e-05]
Training:   6%|▌         | 617/10000 [18:23<5:47:51,  2.22s/epoch, loss=3.595, lr=9.9e-05]
Training:   6%|▌         | 618/10000 [18:23<5:47:06,  2.22s/epoch, loss=3.595, lr=9.9e-05]
